Row,Local,State,Regional,National,Values,Policy,Localization,Investment,Innovation,Information,Coordination and Collaboration
Upgrade and Diversify Infrastructure,8,11,11,9,2,4,9,11,2,1,8
Shift Sociocultural Paradigms,8,8,8,5,7,2,4,2,0,4,8
Reform Food Systems,1,2,2,4,3,3,2,2,0,2,4
Reform Fisheries Management,2,13,13,15,13,14,0,2,3,9,11
Modernize and Support Seafood Industry,2,4,5,6,1,3,0,4,3,2,5
Facilitate Fisheries Access,2,11,10,10,8,12,5,5,1,3,6
Enable Community Planning,2,2,2,2,1,0,2,2,0,0,2
"Diversify Industries, Workforce",5,5,5,5,2,0,5,5,1,3,5
Develop Nature-Based Solutions,3,3,3,3,1,2,0,3,2,2,3
Decarbonize,2,2,2,3,3,1,0,3,3,3,2
Advance Inclusive Science,7,9,10,10,7,4,5,10,6,9,7
